"","date","text","rt"
"1",2014-10-18,"RT @wfaachannel8: BREAKING: Woman on #Ebola watch list falls ill at Dallas DART station

STORY: http://t.co/Iuy6X1sZ4Z http://t.co/h4cpa2CS…",TRUE
"2",2014-10-18,"RT @NickZabara: Worried about #Ebola? Psychologists suggest your fear can end up hurting you more. http://t.co/RzqI1CoYMm @PsychToday #psyc…",TRUE
"3",2014-10-18,"Training for the Ebola apocalypse #lmao #Ebola #paintball http://t.co/mUJpisRuaT",FALSE
"4",2014-10-18,"RT @philstockworld: #Ebola, #LasVegas, #FuturesTrading and #HedgingStrategies: $SPY $IWM $TNA $TF_F #BeTheHouse -- http://t.co/5NmnD2v4MV",TRUE
"5",2014-10-18,"RT @TexGov: .@GovernorPerry: Caregivers across Northern Texas have demonstrated courage &amp; dedication. #Ebola",TRUE
"6",2014-10-18,"Every civilized nation has put travel bans on #Ebola stricken nations except one... the US. #Obola #obamasebola",FALSE
"7",2014-10-18,"RT @DiannaDeLaGarza: So we are being released, CDC determined it wasn't Ebola related... Hope I don't get a call in a week from them saying…",TRUE
"8",2014-10-18,"#TexasHealthPresbyterianHospital nurse #BrianaAguirre speaks out about #Ebola care (Video): http://t.co/pYARJAvWPm",FALSE
"9",2014-10-18,"Unfortunately, Fox News can be spread through the air. #Ebola #news #p2 *Trevor Davis*
#Top100DJs
#TAMUvsBAMA",FALSE
"10",2014-10-18,"#TexasHealthPresbyterianHospital nurse #BrianaAguirre speaks out about #Ebola care (Video): http://t.co/ATiX62W9oi",FALSE
"11",2014-10-18,"@CronkiteSays @NBCNews: 2nd #Ebola case inside #ISIS #ISIL #IS #IslamicState #Comfirmed insid #Syria #IRAQ http://t.co/AlWAhb9hyx #CDC #RT",FALSE
"12",2014-10-18,"RT @MSF_uk: We've been responding to the #Ebola outbreak for 7 months. Nearly 1,000 people have recovered in our centres http://t.co/Own73J…",TRUE
"13",2014-10-18,"RT @Diberso: @delRioPilar RT por favor,Pilar, para apoyar a los héroes anónimos de @MSF_espana en su lucha contra l #ébola Gracias http://t…",TRUE
"14",2014-10-18,"RT @TEXASSHEBANDIT: @Linda_Wray430 I wish but we can't Linda. SMH t same Gov't that can't run a website will be managing #Ebola 4America ht…",TRUE
"15",2014-10-18,"RT @TexGov: .@GovernorPerry: It's important that we remember their efforts in the face of great adversity. #Ebola http://t.co/zNAgHhbhsA",TRUE
"16",2014-10-18,"Liberals are really needing votes if they have to import in Ebola infected people. #tcot #Ebola",FALSE
"17",2014-10-18,"RT @DrTanyaMD: Bioethicist: 10 Things America Needs to Do About #Ebola http://t.co/hj6YCQpmo1 via @NBCNews",TRUE
"18",2014-10-18,"RT @bbcmundo: Fidel Castro ofrece ayuda a #EEUU para luchar contra el #ébola http://t.co/VKhLO6kqZH #Cuba http://t.co/uTp63b80Vy",TRUE
"19",2014-10-18,"RT @SU2CandMe: White House has been ENCOURAGING travel from W. Africa http://t.co/8KCQoOjnFO #Ebola #tcot #tcwot #tlot #ccot @LeeannWright4…",TRUE
"20",2014-10-18,"RT @Mike_Beacham: ""@TEXASSHEBANDIT: 
@Linda_Wray430 
Same Gov't that can't run website managing #Ebola 4America 
http://t.co/tKS8zw3xsS"" 
C…",TRUE
"21",2014-10-18,"RT @UNICEF: #Ebola is not a death sentence. Early treatment means a much better chance of survival. #EbolaResponse http://t.co/3tpn9SzCLN",TRUE
"22",2014-10-18,"RT @scrivener50: Make no mistake: seditious elements of #OperationChaos contrived this #Ebola #falseflag to derail @WhiteHouse, @DCCC Dems-…",TRUE
"23",2014-10-18,"RT @EnigmaHistorico: Las redes sociales arden por el perro. Pero no x los miles de personas que mueren como perros en África por el #ebola …",TRUE
