"","date","text","rt"
"1",2014-10-19,"RT @academiamir: #Ebola, #pol√≠ticos, #homeopat√≠a y p√°ginas #web
http://t.co/cFzZdZMfAF
#medicina #noticias #actualidad #enfermeria",TRUE
"2",2014-10-19,"The fear/panic liberals keep chastising everyone about?  The only panicked ones are...liberals.  #Ebola.  Stop politicizing and act.",FALSE
"3",2014-10-19,"#Cuba Enviado especial de la #ONU para el #√©bola apoyo de personal m√©dico cubano http://t.co/G2TISuna5x #Africa",FALSE
"4",2014-10-19,"RT @WittyGentlelady: We've had cases of #Ebola in Germany, too, but we'd never blame Chancellor Merkel 4 it! I find you Americans hilarious‚Ä¶",TRUE
"5",2014-10-19,"RT @WhiteHouse: ""If we want to protect Americans from #Ebola here at home, we have to end it over there."" ‚ÄîPresident Obama: http://t.co/sbn‚Ä¶",TRUE
"6",2014-10-19,"RT @CubaMINREX: #CumbreALBATCP @NicolasMaduro: El √∫nico pa√≠s del continente que ha enviado un contingente de m√©dicos a #√Åfrica es #Cuba. #L‚Ä¶",TRUE
"7",2014-10-19,"RT @oxfammexico: La epidemia del #√âbola se est√° extendiendo r√°pidamente y se calcula que en enero podr√≠a haber 1.4 millones de casos: http:‚Ä¶",TRUE
"8",2014-10-19,"RT @crowleyCNN: About that clipboard man... @NIH's Dr Fauci on #Ebola fact, fiction &amp; fears. http://t.co/kowlzWhUzT @CNNsotu",TRUE
"9",2014-10-19,"Re: #Ebola #ebolacruise #EbolaCzar , my boss keeps reminding me... http://t.co/2JgZrdZHXP",FALSE
"10",2014-10-19,"RT @HilaryWKYC: .@wkyc @WaleAliyu has total #ebola monitoring numbers in the state. 153 in Ohio today. http://t.co/ukOnvoRW8S http://t.co/u‚Ä¶",TRUE
"11",2014-10-19,"RT @JATetro: ""@USATODAYhealth: Ebola patient's family completes 21-day quarantine http://t.co/D4AmtSzWyh via @usatoday"" And proves #Ebola N‚Ä¶",TRUE
"12",2014-10-19,"RT @charlesornstein: Wow. Worth reading. @KNX1070: Family of #AmberVinson just released a new statement: http://t.co/ZmJuu8GMl9 #Ebola",TRUE
"13",2014-10-19,"RT @elnuevoherald: #FidelCastro Castro ofrece a EEUU colaboraci√≥n en lucha contra el #√©bola http://t.co/yJXefMLJym",TRUE
"14",2014-10-19,"RT @ChuckCJohnson: The argument that a #ebola travel ban is ineffective is stupid. Why have thirty other countries, including African ones,‚Ä¶",TRUE
"15",2014-10-19,"An #EbolaQandA: Duncan family didn't get #Ebola after exposure to him. Is virus not airborne or less contagious with symptoms? Thoughts?",FALSE
"16",2014-10-19,"#NewsAlert Bradley Strohl, future jihadist. fake #veteran, is looking to get infected with #Ebola to spread it across the north west,",FALSE
"17",2014-10-19,"@mimiechipy Tu foutais quoi √† l'a√©roport? C'est toi qui fait les contr√¥les pour #Ebola?",FALSE
"18",2014-10-19,"RT @Jarjarbug: Can‚Äôt make this up if we tried! #CDC #Ebola - http://t.co/JOqq3ZyKQ0 http://t.co/nTrRzdcCRL",TRUE
"19",2014-10-19,"RT @mwbloem: #Ebola's not the only health crisis: Images of the Ukraine #TB epidemic http://t.co/o1tONW6Pj6 ‚Ä¶ ‚Ä¶ via @Ludobok http://t.co/jI‚Ä¶",TRUE
"20",2014-10-19,"RT @14ymedio: Hoy @JohnKerry exalta el gran trabajo de #Cuba en la lucha contra el #√©bola http://t.co/An7lKJfac8 http://t.co/MvXDYFnsgs",TRUE
"21",2014-10-19,"@DabbyPeace I never realized I caused bad #tattooes! #Ebola",FALSE
"22",2014-10-19,"Since March this year nearly 5000 have died in Africa due to #Ebola to put that in context around 200000 have died of hunger - stay scared",FALSE
"23",2014-10-19,"As 21-day #Ebola quarantine ends for 48 in Dallas, what's to fear? Maybe the public.  http://t.co/C2HQBkDiUq",FALSE
"24",2014-10-19,"Stop the #Ebola bunglin! To ...  http://t.co/5wQnlQVwKv...",FALSE
"25",2014-10-19,"My Halloween costume this year Ì†ΩÌ∏ÇÌ†ΩÌ∏Ç #Ebola #Antiebola @pewdiepie @FairiTaiI @cloar_sinz @TitGoddess @FaZe_Rain http://t.co/bBnpCdMZTq",FALSE
"26",2014-10-19,"Ì†ΩÌ¥´Ì†ΩÌ±¥Ì†ΩÌ≤âÌ†ΩÌ¥´Ì†ΩÌ±¥Ì†ΩÌ≤âÌ†ΩÌ¥´Ì†ΩÌ±¥Ì†ΩÌ≤â

FLIGHT #1142
FLIGHT #1143

#EBOLA 
#AIRBORNE 
#PANIC

CALL CDC.‚Ä¶ http://t.co/jssy9U054t",FALSE
"27",2014-10-19,"RT @CubaMINREX: #CumbreALBATCP @NicolasMaduro: El √∫nico pa√≠s del continente que ha enviado un contingente de m√©dicos a #√Åfrica es #Cuba. #L‚Ä¶",TRUE
"28",2014-10-19,"RT @WittyGentlelady: We've had cases of #Ebola in Germany, too, but we'd never blame Chancellor Merkel 4 it! I find you Americans hilarious‚Ä¶",TRUE
"29",2014-10-19,"With so much #FUD around it is good to be reminded: How you can and can't get #Ebola. http://t.co/T6TqwNubU6",FALSE
"30",2014-10-19,"RT @UmaruFofana: #SierraLeone president dissolves country's #Ebola response team - EOC - &amp; renamed &amp; reconstituted it with Defence minister‚Ä¶",TRUE
"31",2014-10-19,"RT @KLSouth: Remember the #democrats who walked out of #Benghazi Families hearing! VOTE THEM OUT! #Ebola http://t.co/QeIwK6Edry",TRUE
"32",2014-10-19,"RT @neighhay: Obama:""we are monitoring and tracking anyone who was in close proximity to this second nurse""/but if they were on a bus, it's‚Ä¶",TRUE
"33",2014-10-19,"#ebola is most likely a gov made disease. 'new world order type of shit'",FALSE
"34",2014-10-19,"RT @LANURSE1: Here are military guidelines for #Ebola. Call for respirators and isolated wards with special air handling systems. http://t.‚Ä¶",TRUE
"35",2014-10-19,"RT @WittyGentlelady: We've had cases of #Ebola in Germany, too, but we'd never blame Chancellor Merkel 4 it! I find you Americans hilarious‚Ä¶",TRUE
"36",2014-10-19,"Congrats Danny Boyle  b.Oct 20th,1956

""Choose Life""
#Ebola  
 
#Trainspotting  @IrvineWelsh @mcgregor_ewan @jonnyjlm http://t.co/ArJzPMCnjj",FALSE
"37",2014-10-19,"RT @channel1america: RT @KGWNews: Sick nurse's dog #Bentley to be tested for #Ebola http://t.co/Zbh0Fk0yKy http://t.co/tWfvc5MMUc",TRUE
"38",2014-10-19,"RT @berzerkJoe: #Ebola http://t.co/9Uy2cJXDOO",TRUE
"39",2014-10-19,"Read the letter #Liberia's President just sent us all about #Ebola: http://t.co/i0VK4YYjmQ. Via @opejy. http://t.co/cTBMEpbVUO",FALSE
"40",2014-10-19,"RT @kassandra_m: SUNDAY SHOCKER ~&gt; New #Ebola Czar misses 2nd Meeting?!? #Politics http://t.co/e5nj4nXXb7 ‚Ä¶",TRUE
"41",2014-10-19,"@australian 
#EBOLA in the USA
#DailyShow 
http://t.co/qGqWvWIiYs
http://t.co/hWf5bdtP4f http://t.co/1CPHKnQLSt",FALSE
"42",2014-10-19,"#Cuba pretende salvar a la gente del Africa del mortal virus de #Ebola mientras su gente muere de #colera",FALSE
"43",2014-10-19,"RT @JamilaHanan: Brave lady.Treated 4 of her family for #Ebola in her own makeshift clinic.3 of them survived. http://t.co/1BLgNKw9Zb http:‚Ä¶",TRUE
"44",2014-10-19,"RT @J_Candelas7: ‚Äú@sage_mcphersonn: #Ebola https://t.co/H1NYJLWA4F‚Äù",TRUE
"45",2014-10-19,"RT @MountainMole: Americans in past year killed by‚Ä¶
#Ebola: 1.
#ISIS: 2.
Gun violence: 31K.
Flu/Pneumonia: 54K.
Cancer: 575K.
Heart disease‚Ä¶",TRUE
"46",2014-10-19,"RT @dcfairbank: Enough corporate #fearmongering! @upwithsteve @richardwolffedc @MichaelSteele @GOP @TheDemocrats #Ebola Hysteria http://t.c‚Ä¶",TRUE
"47",2014-10-19,"@JeanneShaheen mocks @SenScottBrown for talking about #Ebola while she hawks birth control to #nhpolitics @mboyle1 http://t.co/EpqVFPpY82",FALSE
"48",2014-10-19,"RT @dcfairbank: @upwithsteve @richardwolffedc @MichaelSteele @GOP @TheDemocrats #Ebola is very serious. #ISIS is very serious. But why do w‚Ä¶",TRUE
"49",2014-10-19,"RT @joanfaus: Monrovia, 2014: Ambulance Work in Liberia Is a Busy and Lonely Business http://t.co/T56D8U1QKp #Ebola #Ebolaoutbreak #Africa",TRUE
"50",2014-10-19,"U.S. hospitals(more like everybody/everywhere) gird for‚ò£#Ebola‚ò£panic as flu season looms http://t.co/l3yNIYn7ah",FALSE
"51",2014-10-19,"RT @KGWNews: Sick nurse's dog #Bentley to be tested for #Ebola http://t.co/Zbh0Fk0yKy http://t.co/tWfvc5MMUc",FALSE
"52",2014-10-19,"RT @matchmadeinhevn: Sierra Leone lockdown will not help halt Ebola: MSF http://t.co/IqXo4c3Ty0 #Reuters #Africa #Ebola #EbolaOutbreak",TRUE
"53",2014-10-19,"RT @catwahler: MT @BradThor LATimes &amp;NYDailyNews pulling no punches over #Obama's #Ebola response 

http://t.co/W21iU1SbEq #pjnet",TRUE
"54",2014-10-19,"RT @PatDollard: Obama's plan is to turn the US into a giant hospital for African negroes with #ebola. He thinks they should all be treated ‚Ä¶",TRUE
"55",2014-10-19,"@MrBlog1 hey MrBlog #independents I see that you are tweeting #Ebola, check out http://t.co/2UQsH7Wh37 for up to the minute Ebola info.",FALSE
"56",2014-10-19,"RT @embacuba_ecuad: ONU considera que Cumbre contra el #√âbola en #Cuba es muestra de humanidad y apoyo: ""Es mi deseo que otras nacio... htt‚Ä¶",TRUE
"57",2014-10-19,"National Nurses United Call on @BarackObama to Direct Hospitals to Follow Highest Standards for Beating #Ebola http://t.co/MZOmEk1Aki",FALSE
"58",2014-10-19,"Top Scientist: This Version Of #Ebola Looks Like ‚ÄòA Very Different Bug‚Äô http://t.co/LEOduiGnUB 
@patdollard @fingersflying @sunpro1998",FALSE
"59",2014-10-19,"Dallas Cowboys Fans be like. Ì†ΩÌ∏ÇÌ†ΩÌ∏Ç #NYGvsDAL #Romo #Murray #Escobar #Dez #Haters #Ebola http://t.co/U180ptZJfL",FALSE
"60",2014-10-19,"RT @MyLyricalMind: The Ebola condom .. Just amazing haha #Ebola http://t.co/6XYs55VQM2",TRUE
"61",2014-10-19,"RT @KennettDems: Hey GOP &amp; Fox News: If 1 #ebola death and 2 infections get us an Ebola Czar, what do we get for 30,000+ gun deaths each y‚Ä¶",TRUE
"62",2014-10-19,"RT @reynier2011: Bienvenido a #Cuba,@NicolasMaduro. Gracias por promover esta cumbre sobre el #Ebola. Bienvenido a tu otra patria. El puebl‚Ä¶",TRUE
"63",2014-10-19,"RT @PoliticsMinion: With #Ebola #ISIS #Gaza no wonder people live lives in a bubble in the UK",TRUE
"64",2014-10-19,"RT @ALBATCP_Cuba: El ALBA va a la vanguardia de un tema que est√° alarmando a la opinion publica mundial como es el caso del #Ebola  #ALBATC‚Ä¶",TRUE
"65",2014-10-19,"@pornstartrek hey samantha smith I see that you are tweeting #Ebola, check out http://t.co/U0M8jd1ElC for up to the minute Ebola info.",FALSE
"66",2014-10-19,"‚òùI 
am also
NOT showing
ANY signs of #EBOLA.

But, I'm very concerned about #PoliceBrutality &amp; #StreetExecutions.

http://t.co/nhqWKkdhoG",FALSE
"67",2014-10-19,"RT @elnuevoherald: #FidelCastro Castro ofrece a EEUU colaboraci√≥n en lucha contra el #√©bola http://t.co/yJXefMLJym",TRUE
"68",2014-10-19,"RT @ALBATCP_Cuba: El ALBA va a la vanguardia de un tema que est√° alarmando a la opinion publica mundial como es el caso del #Ebola  #ALBATC‚Ä¶",TRUE
"69",2014-10-19,"RT @verdadesofenden: Ni√±os muertos en √Åfrica en 6 meses:

Neumon√≠a: 298.000
Diarrea: 193.000
Malaria: 288.000
#√âbola 3.000 personas

La epi‚Ä¶",TRUE
"70",2014-10-19,"RT @KennettDems: Hey GOP &amp; Fox News: If 1 #ebola death and 2 infections get us an Ebola Czar, what do we get for 30,000+ gun deaths each y‚Ä¶",TRUE
"71",2014-10-19,"Presidente  #Venezuela : Venimos a unificar criterios cient√≠ficos vs #Ebola   #CumbreALBATCP  #ALBATCPxlavida  #Cuba http://t.co/TnjATPhN6m",FALSE
"72",2014-10-19,"pesquisa diz que a #maconha pode ser uma das √∫nicas curas do v√≠rus do #eBola ... se for ver√≠dico eu volto √† fumar!' (y)'",FALSE
"73",2014-10-19,"RT @FollowEbola: @arlenearmy hey arlenearmy I see that you are tweeting #Ebola, check out http://t.co/2UQsH7Wh37 for up to the minute Ebola‚Ä¶",TRUE
"74",2014-10-19,"@AlBoeNEWS hey Al Boe  I see that you are tweeting #Ebola, check out http://t.co/U0M8jd1ElC for up to the minute Ebola info.",FALSE
"75",2014-10-19,"CDC To Revise #Ebola Protocol. http://t.co/XzfdHyHMgG",FALSE
"76",2014-10-19,"RT @WSJAsia: Ebola's deadly reach: where confirmed cases of current #Ebola outbreak have been treated http://t.co/8kqpB90mld http://t.co/Lw‚Ä¶",TRUE
"77",2014-10-19,"RT @KennettDems: Hey GOP &amp; Fox: Panic this! USA deaths in past year by #Ebola: 1 #ISIS: 2 Guns: 31,000 Flu/Pneumonia: 54,000 Cancer:5‚Ä¶",TRUE
"78",2014-10-19,"We're terrified from #Ebola, Yet we kill each other everyday in the worst ways possible!

#Libya",FALSE
"79",2014-10-19,"RT @KennettDems: Hey GOP &amp; Fox News: If 1 #ebola death and 2 infections get us an Ebola Czar, what do we get for 30,000+ gun deaths each y‚Ä¶",TRUE
"80",2014-10-19,"@tazcat2011 @Fishgot2swim @KennettDems if you dip your bullets in #ebola blood and shoot your friend then yourself, problem solved. #sarcasm",FALSE
"81",2014-10-19,"#Obama Golfs On Saturday, Then Holds Nighttime #Ebola Meeting--Which New Ebola Czar Skips! http://t.co/tf6DdeJs7h via @BreitbartNews",FALSE
"82",2014-10-19,"Top Scientist: This Version Of #Ebola Looks Like ‚ÄòA Very Different Bug‚Äô http://t.co/LEOduiGnUB #prepping #survival #preppertalk #Prepper",FALSE
"83",2014-10-19,"@andilinks hey Andrea Silve–Ø I see that you are tweeting #Ebola, check out http://t.co/U0M8jd1ElC for up to the minute Ebola info.",FALSE
"84",2014-10-19,"RT @grammy620: People were given info on #Ebola which proved to be false. And you wonder why people are afraid? You can't trust liars! #Dal‚Ä¶",TRUE
"85",2014-10-19,"This just in. The NFL has named ebola a performance enhancing disease.
#DallasCowboysNation #NFL #ebola #DallasCowboys",FALSE
"86",2014-10-19,"Ì†ΩÌ¥´Ì†ΩÌ±¥Ì†ΩÌ≤âÌ†ΩÌ¥´Ì†ΩÌ±¥Ì†ΩÌ≤âÌ†ΩÌ¥´Ì†ΩÌ±¥Ì†ΩÌ≤â

FLIGHT #1142
FLIGHT #1143

#EBOLA 
#AIRBORNE 
#PANIC

CALL CDC.‚Ä¶ http://t.co/dqzorlzPzk",FALSE
"87",2014-10-19,"Lego workstation. Aka how #Ebola spreads. http://t.co/WDHZcqMLyD",FALSE
"88",2014-10-19,"RT @Jarjarbug: Can‚Äôt make this up if we tried! #CDC #Ebola - http://t.co/JOqq3ZyKQ0 http://t.co/nTrRzdcCRL",TRUE
"89",2014-10-19,"People from #Ebola affected countries arriving in US at the rate of over 1,000 per wk w/ the cooperation of the Obama admin. #TravelBan",FALSE
"90",2014-10-19,"RT @MountainMole: Americans in past year killed by‚Ä¶
#Ebola: 1.
#ISIS: 2.
Gun violence: 31K.
Flu/Pneumonia: 54K.
Cancer: 575K.
Heart disease‚Ä¶",TRUE
"91",2014-10-19,"(podcast) Why we should support our Doctors and Nurses #Ebola 
http://t.co/PZW2Nh5ylR",FALSE
"92",2014-10-19,"RT @ALBATCP_Cuba: El ALBA va a la vanguardia de un tema que est√° alarmando a la opinion publica mundial como es el caso del #Ebola  #ALBATC‚Ä¶",TRUE
"93",2014-10-19,"RT @Jami_USA: To better monitor the 1,000 potential #Ebola patients in US, tell the #IRS they are in the #TeaParty, since the #CDC can't ke‚Ä¶",TRUE
"94",2014-10-19,"RT @PatDollard: JUDICIAL WATCH: Obama To Bring Non-American Ebola Victims To The U.S. For Treatment http://t.co/ESoXwTOVs2  #lnyhbt #teapar‚Ä¶",TRUE
"95",2014-10-19,"@KenWahl1 #Ebola http://t.co/Sq1i6JxVXf So I thought they said there was no danger of our troops catching it?Ok for Liberians to come here?",FALSE
"96",2014-10-19,"RT @23ABCNews: Cruise ship docks with Ebola-watched health worker. | http://t.co/UqoAFtPNdO #ebolacruise #Ebola",TRUE
"97",2014-10-19,"@NicolasMaduro #Cuba va adelante en servicios p√∫blico de la salud. #Cuba es el mejor lugar para realizar esta #CumbreALBATCP sobre #Ebola",FALSE
"98",2014-10-19,"Hey GOP &amp; Fox News: If 1 #ebola death and 2 infections get us an Ebola Czar, what do we get for 30,000+ gun deaths each year? #GunSense",FALSE
"99",2014-10-19,"News: ""Why your itchy eyes could be more than allergies, up next!"" #OMG I HAVE DRY ITCHY EYES AND IT'S #EBOLA",FALSE
"100",2014-10-19,"http://t.co/Feff3NGCth  -- #ygbsm #ebola #zeroprotocol",FALSE
"101",2014-10-19,"#Plagues, #contagions, #US of A - Mr. #Obama Channels #Orwell on #Ebola Threat as #Elections Loom http://t.co/7PNmKFKnaX #Africa #quarantine",FALSE
"102",2014-10-19,"RT @_HannahSharpe: Everyone in Ohio right now. #Ebola   Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç https://t.co/f2K3bUekcF",TRUE
"103",2014-10-19,"""@ElTuitero12: #Canada conducts test runs for #Ebola response teams. http://t.co/x5KIK4NBoT v√≠a @WSJ"" @majonesperez",FALSE
"104",2014-10-19,"RT @jhontxu: Como se dice #Ebola en Colombia : German Mera",TRUE
"105",2014-10-19,"RT @MSF_espana: ‚ÄúSobreviv√≠ al #√âbola por una raz√≥n: ayudar a otros a luchar contra la enfermedad‚Äù Lee la historia de Salom√© Karwah: http://‚Ä¶",TRUE
"106",2014-10-19,"RT @unhrd: Ambulances just landed in #SierraLeone from @UNHRD Dubai - big thanks @WorldBank for helping the fight against #Ebola http://t.c‚Ä¶",TRUE
"107",2014-10-19,"@PaulStewartII hey Paul Stewart I see that you are tweeting #Ebola, check out http://t.co/2UQsH7Wh37 for up to the minute Ebola info.",FALSE
"108",2014-10-19,"RT @LynnD_P: #ReasonToExitAnObamaSpeech

The guy next to me is puking. Beer? Or #Ebola ? Anyone's guess... Ì†ΩÌ∏≥",TRUE
"109",2014-10-19,"ONU considera que Cumbre contra el #√âbola en #Cuba es muestra de humanidad y apoyo: ""Es mi deseo que otras nacio... http://t.co/n6pxNNf3pL""",FALSE
"110",2014-10-19,"RT @BRios82: Republicans never accept responsibility for anything! Spread their shame! #Ebola #UniteBlue #Tcot #LibCrib #P2 http://t.co/HJw‚Ä¶",TRUE
"111",2014-10-19,"@LtGovDuffyNY hey Robert Duffy I see that you are tweeting #Ebola, check out http://t.co/2UQsH7Wh37 for up to the minute Ebola info.",FALSE
"112",2014-10-19,"Y'all taking that #Ebola stuff too serious Ì†ΩÌ∏©Ì†ΩÌ∏≠Ì†ΩÌ≤Ø https://t.co/xeg3mokptj",FALSE
"113",2014-10-19,"REALLY ! We are going to blame the economy on #Ebola when it should be blamed on #Obola",FALSE
"114",2014-10-19,"Top Scientist: This Version Of #Ebola Looks Like ‚ÄòA Very Different Bug‚Äô http://t.co/LEOduiGnUB #cnsnews #foxnews #CNN #ABC #CBS #NBC",FALSE
"115",2014-10-19,"RT @KennettDems: Hey GOP &amp; Fox: Panic this! USA deaths in past year by #Ebola: 1 #ISIS: 2 Guns: 31,000 Flu/Pneumonia: 54,000 Cancer:5‚Ä¶",TRUE
"116",2014-10-19,"RT @ensignbay: Obama's 1st #EbolaCzar took $ from #ebola research to give to Democrat donor -  http://t.co/TyhTqiIaMN/s/40R4 via @FDRLST",FALSE
"117",2014-10-19,"Is #ebola going to be the hot #Halloween costume choice thus year? #Sigh",FALSE
"118",2014-10-19,"Replace #Ebola with #Zombie and you've got yourself 2015's Summer Blockbuster.",FALSE
"119",2014-10-19,"RT @ErikaOSanoja: ¬øY m√©dicos? RT @NTelevisa_com: Pent√°gono formar√° equipo militar para combatir el #√©bola en EU http://t.co/5eZg6SMfDQ http‚Ä¶",TRUE
"120",2014-10-19,"late night munch and inbetweeners series 1-3Ì†ΩÌ∏ú #Ebola #doleylife",FALSE
"121",2014-10-19,"RT @lesstaxingcpa: ‚Äú@Victoria41768: @orwell4ever #tcot #lwnj http://t.co/Nj2VYxjxQS‚Äù #Obama exacts revenge for #Liberia #Ebola #Enterovirus",TRUE
"122",2014-10-19,"RT @ALBATCP_Cuba: El ALBA va a la vanguardia de un tema que est√° alarmando a la opinion publica mundial como es el caso del #Ebola  #ALBATC‚Ä¶",TRUE
"123",2014-10-19,"@dragonflyeye hey Tom Belknap I see that you are tweeting #Ebola, check out http://t.co/2UQsH7Wh37 for up to the minute Ebola info.",FALSE
"124",2014-10-19,"RT: Retweet if you will #Not get the #EBOLA vaccine",FALSE
"125",2014-10-19,"RT @FrayedBlueJeans: Breaking News on Ebola: You don't have it.#Ebola #EbolaQandA #CNN",TRUE
"126",2014-10-19,"@marlinwoosley hey Marlin Woosley I see that you are tweeting #Ebola, check out http://t.co/2UQsH7Wh37 for up to the minute Ebola info.",FALSE
"127",2014-10-19,"RT @RT_com: Beating #Ebola: Spanish nurse appears to be healed from deadly virus http://t.co/y3tit1lIib http://t.co/6oJKWgfRIf",TRUE
"128",2014-10-19,"Top Scientist: This Version Of #Ebola Looks Like ‚ÄòA Very Different Bug‚Äô http://t.co/LEOduiGnUB #tcot #tlot #cvn #sgp #p2 #ocra #Ccot",FALSE
"129",2014-10-19,"@BlackPhysicists hey BlackPhysicists I see that you are tweeting #Ebola, check out http://t.co/2UQsH7Wh37 for up to the minute Ebola info.",FALSE
"130",2014-10-19,"RT @unhrd: Ambulances just landed in #SierraLeone from @UNHRD Dubai - big thanks @WorldBank for helping the fight against #Ebola http://t.c‚Ä¶",TRUE
"131",2014-10-19,"RT @unhrd: Ambulances just landed in #SierraLeone from @UNHRD Dubai - big thanks @WorldBank for helping the fight against #Ebola http://t.c‚Ä¶",TRUE
"132",2014-10-19,"RT @unhrd: Ambulances just landed in #SierraLeone from @UNHRD Dubai - big thanks @WorldBank for helping the fight against #Ebola http://t.c‚Ä¶",TRUE
"133",2014-10-19,"RT @rational_jingo: Judicial Watch: Obama Plans to Transfer #Ebola -infected Foreigners to U.S. for Treatment http://t.co/zaBohOnkSf via @B‚Ä¶",TRUE
"134",2014-10-19,"RT @listindiario: Enfermera espa√±ola da negativo en la √∫ltima prueba de #√©bola, cero carga viral http://t.co/QDabWrnmZp",TRUE
"135",2014-10-19,"RT @CubaMINREX: #CumbreALBATCP @NicolasMaduro: El √∫nico pa√≠s del continente que ha enviado un contingente de m√©dicos a #√Åfrica es #Cuba. #L‚Ä¶",TRUE
"136",2014-10-19,"RT @WittyGentlelady: We've had cases of #Ebola in Germany, too, but we'd never blame Chancellor Merkel 4 it! I find you Americans hilarious‚Ä¶",TRUE
"137",2014-10-19,"Ì†ΩÌ¥´Ì†ΩÌ±¥Ì†ΩÌ≤âÌ†ΩÌ¥´Ì†ΩÌ±¥Ì†ΩÌ≤âÌ†ΩÌ¥´Ì†ΩÌ±¥Ì†ΩÌ≤â

FLIGHT #1142
FLIGHT #1143

#EBOLA 
#AIRBORNE 
#PANIC

CALL CDC.‚Ä¶ http://t.co/R00xxUNL0D",FALSE
"138",2014-10-19,"RT @RealAlexJones: The #militarization of the #Ebola crisis. http://t.co/DM5KnB2H1t",TRUE
"139",2014-10-19,"US blamed for #Ebola crisis http://t.co/CP2XMQCcSy using outbreak to expand their military presence #Africa http://t.co/R6glzWl3n8",FALSE
"140",2014-10-19,"@m_m_campbell hey Malcolm M. Campbell I see that you are tweeting #Ebola, check out http://t.co/2UQsH7Wh37 for up to the minute Ebola info.",FALSE
"141",2014-10-19,"#ebola got people wearing them scary white masks #takingnochances",FALSE
"142",2014-10-19,"RT @WittyGentlelady: We've had cases of #Ebola in Germany, too, but we'd never blame Chancellor Merkel 4 it! I find you Americans hilarious‚Ä¶",TRUE
"143",2014-10-19,"RT @ensignbay: Obama's 1st #EbolaCzar took $ from #ebola research to give to Democrat donor -  http://t.co/OBE2xHBS9E via @FDRLST",TRUE
"144",2014-10-19,"RT @HlthAnalysis: As of Oct 14th, 9,216 cases of #Ebola (#EVD) &amp; 4,555 deaths reported by @WHO http://t.co/1oaRRXEoWX #EbolaOutbreak http:/‚Ä¶",TRUE
"145",2014-10-19,"CDC To Revise #Ebola Protocol. http://t.co/9fPVsdv5u6",FALSE
"146",2014-10-19,"RT @earththreats: World fears mount that #Ebola battle being lost in West #Africa http://t.co/MkvTn4ICJl",TRUE
"147",2014-10-19,"RT @gonzalomontoya9: #TeresaRomero  da por primera vez en un an√°lisis negativo en #Ebola http://t.co/vWlnEX6t89",TRUE
"148",2014-10-19,"RT @BrianNewCBS: Here's the complete statement from Louise Troh, fianc√© of Thomas Duncan. #Ebola http://t.co/Uv9ffbWdR4",TRUE
"149",2014-10-19,"New Obama #Ebola Czar Absent from Meeting Coordinating Gov‚Äôt Ebola Response  http://t.co/vm9hcQt7D7 via @theblaze  #Obola #election2014",FALSE
"150",2014-10-19,"RT @WittyGentlelady: We've had cases of #Ebola in Germany, too, but we'd never blame Chancellor Merkel 4 it! I find you Americans hilarious‚Ä¶",TRUE
"151",2014-10-19,"RT @IsaCNN: So good to hear that Spanish nurse is getting better. Teresa Romero has now tested negative for the Ebola virus. #Ebola",TRUE
"152",2014-10-19,"El ALBA va a la vanguardia de un tema que est√° alarmando a la opinion publica mundial como es el caso del #Ebola  #ALBATCPxlavida",FALSE
"153",2014-10-19,"@patty_bray hey patty jo bray I see that you are tweeting #Ebola, check out http://t.co/2UQsH7Wh37 for up to the minute Ebola info.",FALSE
"154",2014-10-19,"RT @unhrd: Ambulances just landed in #SierraLeone from @UNHRD Dubai - big thanks @WorldBank for helping the fight against #Ebola http://t.c‚Ä¶",TRUE
"155",2014-10-19,"@kennettehughes hey Doc Hughes I see that you are tweeting #Ebola, check out http://t.co/2UQsH7Wh37 for up to the minute Ebola info.",FALSE
"156",2014-10-19,"The new #Ebola condom #lmao dead #yoo http://t.co/zC35cpWukb",FALSE
"157",2014-10-19,"RT @PoliticalCow: North and South Korea 'exchange fire over border' - #Ebola, #ISIS, #economy, and this? #Obama has #NoStrategy.  http://t.‚Ä¶",TRUE
"158",2014-10-19,"RT @NoradNorthcom: From @DeptofDefense: USNORTHCOM tapped to assist @HHS w/ 30-person med team stateside if #Ebola assistance needed. Detai‚Ä¶",TRUE
"159",2014-10-19,"RT @MicrobesInfect: #Ebola patient in Germany treated with novel bio-filtration device designed to remove viruses from the bloodstream http‚Ä¶",TRUE
"160",2014-10-19,"RT @oxfammexico: La epidemia del #√âbola se est√° extendiendo r√°pidamente y se calcula que en enero podr√≠a haber 1.4 millones de casos: http:‚Ä¶",TRUE
